f0,f1,f2,f3,f4
0.27661202636531224,0.11426741577315472,6.644997100258346e-05,0.12549287006781304,0.05699092254261948
0.6063802899703932,0.47848830517566704,0.0005423850751854062,0.6343402570504804,0.12194351352312449
0.6210562251553099,0.7662536534208911,0.0011515766604532217,0.9272478248891848,0.17609775317843612
0.8632091557064375,1.027782898014226,0.0010691715656284218,0.9373042170838538,0.20787672566775137
0.06821374673949337,0.14663798487601384,0.00010397570915427712,0.23287211805004746,0.04162950614333181
0.0848269053688192,0.24388832417218373,0.0003170523767353311,0.09895853403609586,0.011637846976807184
0.543596639249319,0.6614478708009275,0.0005259397101284287,0.4452982579934635,0.12881519163915667
0.4439763912141036,0.4690959880162721,0.0008136667475480658,0.5629156401979816,0.12735284437505523
0.6470913341733524,0.8524480917065556,0.0013278406680422342,0.8170515754789256,0.19847979047065517
0.7095521143203585,1.0280601619894112,0.0013301581720611038,0.8485535269321058,0.1896109251189289
0.5911760211188193,0.6529913195577823,0.0007018026112526369,0.6000213041692756,0.1173330575654714
0.19313530703350534,0.3139321359033168,0.0004375625857165421,0.17874328415886184,0.041819069677567176
0.2635797959211061,0.29209759785749106,0.00035493465396685083,0.03649985721257898,0.008022599573889769
0.16093630523779784,0.25168637347426437,0.0004343091666131293,0.25392390291539385,0.036436819330527205
0.5080221723610806,0.4329476972515162,0.0006519317074619657,0.356971632572816,0.1403514867226235
0.7984589296705844,1.0562024554706977,0.0009409511990459721,0.640943550720474,0.1654821952612554
0.6386673473772101,0.933790410426481,0.0010794666315583996,0.7959089195997721,0.1563222144819534
0.31676538503124463,0.22545026982237532,0.0003600153358543723,0.14599942885031592,0.027148206152994073
0.19527799357050318,0.0387822985290143,9.265559336979946e-05,0.31532241791115945,0.052366926332520984
0.7414575974123675,1.0701349702237484,0.0012944596966935186,0.6377933555751559,0.18627325289114186
0.4998623523982669,0.4162425427466146,0.0008732533412639974,0.3370708805490281,0.1001707875909477
0.2932838887353777,0.30599545461364364,9.39034801491907e-05,0.203460199914434,0.033112687355185536
0.8091430104852039,0.989832391410767,0.0011548746469416129,0.684470766334147,0.14618733552658378
0.18256863370036522,0.18746510522201817,0.00048676497873253956,0.2531363541290643,0.023648050895862416
